model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v1_ind_seed7009,50,100.0,16,7009,0.7157,0.715,0.8555,0.8198,0.8181,0.715,0.9179,0.971,48.1,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7001,50,100.0,32,7001,0.7461,0.715,0.8548,0.8388,0.8264,0.715,0.9206,0.986,55.7,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7005,50,100.0,32,7005,0.7183,0.6619,0.8612,0.822,0.7915,0.6619,0.9095,0.9857,58.7,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7009,50,100.0,32,7009,0.6853,0.715,0.867,0.8043,0.8189,0.715,0.9034,0.9758,59.6,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7001,50,100.0,48,7001,0.7513,0.7056,0.8653,0.8411,0.8217,0.7056,0.9159,0.9673,65.2,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7005,50,100.0,48,7005,0.7089,0.6619,0.8728,0.8162,0.7983,0.6619,0.919,0.9857,66.1,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7009,50,100.0,48,7009,0.6751,0.7198,0.859,0.8053,0.8279,0.7198,0.9324,0.9758,65.8,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7001,50,100.0,64,7001,0.7461,0.7196,0.8728,0.8387,0.8255,0.7196,0.9159,0.9813,66.5,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v1_ind_seed7005,50,100.0,64,7005,0.7042,0.6762,0.8788,0.8125,0.8047,0.6762,0.919,0.9905,67.2,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v1_ind_seed7009,50,100.0,64,7009,0.7005,0.7246,0.8765,0.8161,0.8257,0.7246,0.8986,0.9807,66.0,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7001,50,100.0,80,7001,0.7461,0.6963,0.8768,0.8397,0.8162,0.6963,0.9206,0.9813,66.2,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v1_ind_seed7005,50,100.0,80,7005,0.7089,0.6952,0.8794,0.8176,0.8162,0.6952,0.9143,1.0,66.5,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7009,50,100.0,80,7009,0.7056,0.7295,0.8625,0.8221,0.8332,0.7295,0.9227,0.9807,66.0,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7001,50,100.0,96,7001,0.7409,0.6963,0.8753,0.8387,0.8185,0.6963,0.9299,0.972,66.0,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7005,50,100.0,96,7005,0.7042,0.7,0.8824,0.8171,0.8169,0.7,0.9333,0.9857,66.8,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7009,50,100.0,96,7009,0.6954,0.7295,0.882,0.8131,0.8231,0.7295,0.8986,0.971,66.2,Reach max iteration 50 | best_iter=6
