model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
roberta,sum,fb237_v1_ind,50,5,96,3,0.7912,0.012871,0.7719,0.005794,0.671067,0.032133,0.637167,0.019055,0.637167,0.019055,0.895433,0.012192,0.961967,0.000603,0.9411,67.366667
roberta,sum,fb237_v1_ind,200,10,96,3,0.791167,0.015205,0.7766,0.002762,0.660967,0.033475,0.6388,0.011131,0.6388,0.011131,0.896733,0.023138,0.981033,0.00445,0.939267,223.6
roberta,sum,fb237_v1_ind,150,5,64,3,0.7908,0.018332,0.772,0.007428,0.6651,0.037944,0.630633,0.013149,0.630633,0.013149,0.9017,0.004215,0.9683,0.005565,0.9411,167.366667
roberta,sum,fb237_v1_ind,200,5,96,3,0.790733,0.011117,0.773833,0.005805,0.666233,0.031907,0.637067,0.008168,0.637067,0.008168,0.893733,0.00899,0.971567,0.007915,0.9411,216.7
roberta,sum,fb237_v1_ind,150,10,80,3,0.7905,0.01408,0.775667,0.001656,0.6599,0.031373,0.632433,0.0088,0.632433,0.0088,0.900067,0.009708,0.9762,0.012665,0.9411,171.733333
roberta,sum,fb237_v1_ind,100,5,96,3,0.790467,0.018534,0.769633,0.006078,0.665733,0.046401,0.6293,0.015977,0.6293,0.015977,0.893767,0.007089,0.961967,0.008303,0.9411,120.2
roberta,sum,fb237_v1_ind,175,10,48,3,0.789967,0.009815,0.776967,0.001457,0.661567,0.023731,0.6355,0.0022,0.6355,0.0022,0.909533,0.013917,0.974733,0.009693,0.9411,195.166667
roberta,sum,fb237_v1_ind,100,5,64,3,0.789933,0.007831,0.780833,0.007267,0.6664,0.023231,0.6468,0.018265,0.6468,0.018265,0.896833,0.013624,0.973133,0.007068,0.9411,119.166667
roberta,sum,fb237_v1_ind,150,5,80,3,0.7897,0.015057,0.771533,0.0115,0.662867,0.033476,0.632267,0.012962,0.632267,0.012962,0.898333,0.023145,0.9746,0.015385,0.9411,169.233333
roberta,sum,fb237_v1_ind,200,10,80,3,0.789533,0.014217,0.7777,0.007622,0.667667,0.034092,0.635467,0.004104,0.635467,0.004104,0.9143,0.018283,0.9699,0.002261,0.940767,221.566667
roberta,sum,fb237_v1_ind,125,10,96,3,0.7895,0.012443,0.773033,0.007656,0.659767,0.030658,0.635567,0.01937,0.635567,0.01937,0.893567,0.025044,0.973067,0.002386,0.940767,144.733333
roberta,sum,fb237_v1_ind,75,10,48,3,0.789467,0.003647,0.769633,0.010336,0.661333,0.015783,0.630967,0.026924,0.630967,0.026924,0.8937,0.012593,0.971467,0.000503,0.940767,93.3
