model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7005,50,500.0,96,7005,0.6716,0.6702,0.6936,0.7803,0.7862,0.6702,0.8887,0.9622,120.5,Reach max iteration 50 | best_iter=10
roberta,sum,fb237_v2_ind_seed7009,50,500.0,96,7009,0.6424,0.6207,0.6948,0.7679,0.7455,0.6207,0.847,0.9397,120.5,Reach max iteration 50 | best_iter=23
roberta,sum,fb237_v2_ind_seed7001,50,1000.0,16,7001,0.5163,0.5267,0.4906,0.6328,0.6405,0.5267,0.7015,0.8273,69.1,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7005,50,1000.0,16,7005,0.5011,0.4937,0.496,0.6101,0.617,0.4937,0.6849,0.8235,70.7,Reach max iteration 50 | best_iter=13
roberta,sum,fb237_v2_ind_seed7009,50,1000.0,16,7009,0.5054,0.4806,0.504,0.626,0.598,0.4806,0.6638,0.7974,69.9,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v2_ind_seed7001,50,1000.0,32,7001,0.5488,0.5608,0.5255,0.6703,0.676,0.5608,0.7441,0.8614,70.8,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v2_ind_seed7005,50,1000.0,32,7005,0.5116,0.5378,0.5192,0.6395,0.6618,0.5378,0.7416,0.8697,69.5,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v2_ind_seed7009,50,1000.0,32,7009,0.5203,0.5172,0.5268,0.6508,0.6411,0.5172,0.7155,0.8642,69.1,Reach max iteration 50 | best_iter=19
roberta,sum,fb237_v2_ind_seed7001,50,1000.0,48,7001,0.5531,0.565,0.5418,0.6831,0.6865,0.565,0.7719,0.8699,71.0,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v2_ind_seed7005,50,1000.0,48,7005,0.5474,0.5483,0.5508,0.6742,0.6838,0.5483,0.7836,0.8929,70.9,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v2_ind_seed7009,50,1000.0,48,7009,0.5482,0.528,0.5568,0.6718,0.662,0.528,0.7478,0.8858,71.4,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v2_ind_seed7001,50,1000.0,64,7001,0.5705,0.6034,0.5764,0.704,0.7179,0.6034,0.7953,0.8977,75.0,Reach max iteration 50 | best_iter=23
